,User,Text,Date,Location
468,NewTekumze,Qatar's first aid for falcons http://bbc.in/1F7M0W2,2015-05-26 18:02:55+00:00,
469,news_in_summary,Welcome to the falcon hospital of #Qatar http://www.bbc.co.uk/news/magazine-32842338 #ZippedNews http://www.zippednews.com/qatar,2015-05-26 17:58:26+00:00,
